eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
89,178,0.0781,85.1839,0.0137,correct
88,178,0.0781,85.5036,0.0254,correct
88,178,0.0781,85.8236,0.0242,correct
88,178,0.0781,85.8236,0.0252,correct
88,178,0.0787,85.8236,0.0238,correct
88,177,0.0776,85.4783,0.0233,correct
88,178,0.0787,85.8236,0.0243,correct
88,178,0.0781,85.8236,0.0233,correct
88,178,0.0787,85.8236,0.0232,correct
88,178,0.0787,85.5036,0.0239,correct
88,178,0.0787,85.8236,0.0235,correct
88,178,0.0781,85.5036,0.0235,correct
88,178,0.0787,85.8236,0.0233,correct
88,178,0.0787,85.5036,0.0242,correct
88,178,0.0781,85.5036,0.0235,correct
88,178,0.0787,85.8236,0.0236,correct
88,178,0.0781,85.8236,0.0237,correct
88,178,0.0787,85.5036,0.0241,correct
88,178,0.0781,85.8236,0.0233,correct
88,177,0.0782,85.1568,0.0248,correct
88,178,0.0787,85.1839,0.0251,correct
88,178,0.0781,85.5036,0.0241,correct
88,178,0.0787,85.5036,0.0239,correct
88,178,0.0787,85.5036,0.0242,correct
88,178,0.0787,85.5036,0.0257,correct
88,178,0.0781,85.1839,0.0234,correct
88,177,0.0776,85.4783,0.0233,correct
88,178,0.0787,85.5036,0.0253,correct
88,178,0.0781,85.5036,0.0236,correct
88,178,0.0781,85.5036,0.0236,correct
88,178,0.0781,85.5036,0.0236,correct
88,178,0.0781,85.5036,0.0235,correct
88,177,0.0776,85.4783,0.0232,correct
88,178,0.0781,85.5036,0.0226,correct
88,178,0.0781,85.8236,0.0239,correct
88,178,0.0781,85.5036,0.0232,correct
88,178,0.0781,85.8236,0.0237,correct
88,178,0.0781,85.5036,0.023,correct
88,178,0.0787,85.5036,0.0235,correct
88,178,0.0781,85.5036,0.0235,correct
88,178,0.0787,85.5036,0.0235,correct
88,178,0.0781,85.1839,0.0221,correct
88,178,0.0787,85.5036,0.0233,correct
88,178,0.0781,85.1839,0.024,correct
88,178,0.0781,85.5036,0.0236,correct
88,178,0.0781,85.5036,0.0245,correct
88,178,0.0787,85.5036,0.0241,correct
88,178,0.0787,85.5036,0.0242,correct
88,178,0.0787,85.5036,0.0235,correct
88,178,0.0787,85.5036,0.0226,correct
88,178,0.0787,85.5036,0.0228,correct
88,177,0.0782,85.4783,0.0232,correct
