run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
c514c297,0,1756287933559,84,115,0.0802,47.5936,0.001,head_right
c514c297,1,1756287933611,83,125,0.0865,47.6263,0.0015,head_right
c514c297,2,1756287933624,84,125,0.0881,47.6263,0.0017,head_right
c514c297,3,1756287933646,84,125,0.0875,47.6263,-0.0007,head_right
c514c297,4,1756287933678,83,126,0.0875,47.8538,0.0007,head_right
c514c297,5,1756287933709,84,126,0.0875,47.8538,0.0021,head_right
c514c297,6,1756287933743,84,126,0.0875,47.6044,0.0032,head_right
c514c297,7,1756287933780,84,125,0.0875,47.6263,0.0027,head_right
c514c297,8,1756287933807,84,126,0.0881,47.8538,0.0025,head_right
c514c297,9,1756287933841,84,126,0.0886,47.8538,0.0009,head_right
c514c297,10,1756287933871,85,126,0.0881,47.8538,0.0048,head_right
c514c297,11,1756287933903,84,126,0.0881,47.8538,0.0047,head_right
c514c297,12,1756287933947,84,126,0.0875,47.8538,0.0061,head_right
c514c297,13,1756287933980,84,127,0.0881,48.0794,0.0071,head_right
c514c297,14,1756287934017,84,127,0.0886,48.0794,0.0075,head_right
c514c297,15,1756287934052,84,127,0.0886,48.0794,0.0062,head_right
c514c297,16,1756287934078,84,127,0.0886,48.0794,0.0064,head_right
c514c297,17,1756287934109,84,127,0.0881,48.0794,0.0035,head_right
c514c297,18,1756287934141,84,127,0.0875,48.0794,0.0051,head_right
c514c297,19,1756287934179,84,127,0.0881,48.0794,0.0052,head_right
c514c297,20,1756287934195,84,127,0.0881,48.0794,0.0047,head_right
c514c297,21,1756287934247,84,126,0.0881,47.8538,0.006,head_right
c514c297,22,1756287934294,84,127,0.0881,48.0794,0.0078,head_right
c514c297,23,1756287934323,84,127,0.0881,48.0794,0.0039,head_right
c514c297,24,1756287934358,85,126,0.0886,48.1053,0.0037,head_right
c514c297,25,1756287934388,85,126,0.0886,47.8538,0.0035,head_right
c514c297,26,1756287934415,86,127,0.0886,48.3308,0.003,head_right
c514c297,27,1756287934451,84,127,0.0881,48.0794,0.0037,head_right
c514c297,28,1756287934484,84,127,0.0881,48.3308,0.0032,head_right
c514c297,29,1756287934516,84,127,0.0881,48.0794,0.0041,head_right
c514c297,30,1756287934539,84,127,0.0881,48.0794,0.0041,head_right
c514c297,31,1756287934552,84,127,0.0881,48.3308,0.0034,head_right
c514c297,32,1756287934573,84,127,0.0875,48.0794,0.0042,head_right
c514c297,33,1756287934663,84,127,0.0881,48.3308,0.0043,head_right
c514c297,34,1756287934691,84,127,0.0875,48.0794,0.0042,head_right
c514c297,35,1756287934724,84,127,0.0886,48.3308,0.0044,head_right
c514c297,36,1756287934755,84,127,0.0875,48.3308,0.0039,head_right
c514c297,37,1756287934787,85,127,0.0881,48.5843,0.0028,head_right
c514c297,38,1756287934822,85,127,0.0881,48.3308,0.0053,head_right
c514c297,39,1756287934850,85,127,0.0881,48.3308,0.0045,head_right
c514c297,40,1756287934862,85,127,0.0881,48.3308,0.0051,head_right
c514c297,41,1756287934880,85,127,0.0881,48.3308,0.0046,head_right
c514c297,42,1756287934916,85,128,0.0886,48.8078,0.0055,head_right
c514c297,43,1756287934967,85,127,0.0886,48.3308,0.0068,head_right
c514c297,44,1756287934989,85,127,0.0881,48.3308,0.0063,head_right
