run_id,label,count,eye_dist_mean,eye_dist_std,face_height_mean,face_height_std,face_area_mean,face_area_std,head_tilt_h_mean,head_tilt_h_std,head_tilt_v_mean,head_tilt_v_std
8a445bf7,correct,100,84,0.5172,169,1.3453,0.0718,0.0007,85.8349,0.2178,0.0206,0.0022
3b03a6a4,too_close,100,108,0.491,215,0.8246,0.1162,0.0007,85.1847,0.1995,0.0751,0.0021
2460d920,too_far,100,55,0.4609,111,0.7191,0.032,0.0004,86.3096,0.234,0.0035,0.0016
eb244322,head_left,100,84,0.4796,136,1.5641,0.0839,0.001,125.6758,0.3232,0.0223,0.0027
c514c297,head_right,100,84,0.5571,127,1.7464,0.0881,0.0009,48.5913,0.5755,0.0049,0.0018
9a81a6ca,head_up,100,74,0.4005,148,1.9203,0.0576,0.001,85.6035,0.2373,-0.0697,0.0024
43132a0f,head_down,100,76,1.463,148,1.9109,0.0576,0.0012,85.6583,0.8094,0.0674,0.0169
2faa0ca5,correct,100,85,0.4951,172,0.7264,0.0742,0.0005,85.3588,0.1509,0.0226,0.001
b8b60a87,head_up,100,74,0.372,136,1.9876,0.054,0.0009,83.7379,0.2582,-0.1119,0.005
c8cda485,head_down,100,86,0.5157,158,0.6274,0.0684,0.0005,86.433,0.2676,0.119,0.0051
